,true_is_max,true_dist_from_max,true_average_dist_from_max,true_average_dist,true_temp,random_choiceis_max,random_choicedist_from_max,random_choiceaverage_dist_from_max,random_choiceaverage_dist,random_choicetemp,random_probabilitiesis_max,random_probabilitiesdist_from_max,random_probabilitiesaverage_dist_from_max,random_probabilitiesaverage_dist,random_probabilitiestemp,best_is_max,best_dist_from_max,best_average_dist_from_max,best_average_dist,best_temp,all_one_is_max,all_one_dist_from_max,all_one_average_dist_from_max,all_one_average_dist,all_one_temp
10,1,1.0,0.8387203166936373,0.6081798169747753,0.8646291905075963,0,0.5647181681071931,0.5647181681071931,0.5647181681071931,0.6951439283988787,0,0.4345982688679347,0.4345982688679347,0.4484689902719854,0.6347364189402819,1,1.0,0.8482160401950216,0.6322426868052764,0.8725252928694238,1,1.0,0.5289592646808707,0.5289592646808707,0.681966242873099
11,0,0.36787956379790226,0.2903648487225668,0.2699497801595699,0.5737534207374329,0,0.0067379806888709926,0.0067379806888709926,0.0067379806888709926,0.4345982085070782,0,0.13533541857189593,0.13533541857189593,0.37750634447678827,0.513417119032592,0,0.36787956379790226,0.2903648487225668,0.2903648487225668,0.5737534207374329,1,1.0,0.3494809651886012,0.3494809651886012,0.5899144351448397
12,1,1.0,1.0,0.69210062361505,1.0,0,0.0,0.0,0.0,0.36787944117144233,0,0.06392790515711627,0.06392790515711627,0.4081422896564062,0.4803053010897994,1,1.0,1.0,0.7083185851663938,1.0,1,1.0,0.3301949436536913,0.3301949436536913,0.5651485473848012
13,0,0.7514773237478248,0.7514773237478248,0.6791185036937869,0.8007374029168081,0,0.030197436267759312,0.030197436267759312,0.030197436267759312,0.45942582403592663,0,0.7514773237478248,0.7514773237478248,0.5731275984079216,0.8007374029168081,0,0.7514773237478248,0.7514773237478248,0.6791185036937869,0.8007374029168081,1,1.0,0.5621205627884172,0.5621205627884172,0.6996725373751304
14,0,0.8948393278617676,0.6831647842382338,0.5146456403793833,0.7622897307899537,0,0.0001234109147788037,0.0001234109147788037,0.0001234109147788037,0.4065696597405991,0,0.0,0.0,0.2715489944002504,0.36787944117144233,1,1.0,1.0,0.5231374253750067,1.0,1,1.0,0.3709062755036353,0.3709062755036353,0.5915553643668151
15,1,1.0,0.8331198946594106,0.692079360658137,0.8607079764250578,0,0.6514390974150751,0.6514390974150751,0.6514390974150751,0.7408182206817179,0,0.6514390974150751,0.6514390974150751,0.4390956567621678,0.7408182206817179,1,1.0,0.8331198946594106,0.6511651924571616,0.8607079764250578,1,1.0,0.3622540303863759,0.3622540303863759,0.5886049696783553
16,1,1.0,1.0,0.6215941272754797,1.0,0,0.818730785827206,0.818730785827206,0.818730785827206,0.8464817248906141,0,0.36787956379790226,0.36787956379790226,0.43939155214240105,0.6065306597126334,1,1.0,1.0,0.6215941272754797,1.0,1,1.0,0.4752782608377313,0.4752782608377313,0.6531647229008395
17,0,0.1888757077684465,0.059893684791418975,0.21473106659849248,0.44374731008107987,0,0.866877917441565,0.866877917441565,0.866877917441565,0.8824969025845955,0,0.0009118883487442325,0.0009118883487442325,0.30039145962516967,0.4168620196785084,1,1.0,0.6807776507496914,0.5151674129894768,0.7650170614485747,1,1.0,0.31847679561122966,0.31847679561122966,0.5665546020894655
18,1,1.0,0.8071654950530769,0.5691304045122579,0.8424604416167714,0,0.3678795147473232,0.3678795147473232,0.3678795147473232,0.6065306597126334,0,0.5134171760789322,0.5134171760789322,0.40326412851671395,0.6703200460356393,1,1.0,0.8071654950530769,0.7870334321394334,0.8424604416167714,1,1.0,0.478500990711255,0.478500990711255,0.6563555554708402
19,0,0.7408182429062626,0.7408182429062626,0.6942124562738627,0.7939226578179512,0,0.5352614703362857,0.5352614703362857,0.5352614703362857,0.6807123983233854,0,0.92004442101852,0.92004442101852,0.4626727258418698,0.925961078642316,0,0.7408182429062626,0.7408182429062626,0.7091588646551159,0.7939226578179512,1,1.0,0.4731411045661133,0.4731411045661133,0.6481932293972524
